year,month,value
1989,7,.86555
1989,8,.5508999999999999
1989,9,.70313
1989,10,.99069
1989,11,.033782
1989,12,-.6436500000000001
1990,1,1.0007
1990,2,3.4016
1990,3,2.99
1990,4,1.8788
1990,5,.94282
1990,6,.3043
1990,7,-.29581
1990,8,-.18024
1990,9,-.2104
1990,10,.66034
1990,11,.52064
1990,12,1.2767
1991,1,.72323
1991,2,-.87599
1991,3,-.5268
1991,4,.53021
1991,5,.48649
1991,6,-.11536
1991,7,-.18797
1991,8,.79688
1991,9,-.11221
1991,10,-.25195
1991,11,.28465
1991,12,1.6132
1992,1,.55003
1992,2,1.1217
1992,3,.98423
1992,4,-.52053
1992,5,1.3414
1992,6,-.30196
1992,7,.19113
1992,8,.53534
1992,9,-.6403
1992,10,-.36589
1992,11,.71699
1992,12,1.6267
1993,1,3.4953
1993,2,.1845
1993,3,.76435
1993,4,-.43545
1993,5,-1.6075
1993,6,-.51951
1993,7,-.5107
1993,8,-.39299
1993,9,-.36063
1993,10,-.56501
1993,11,1.0018
1993,12,-.10412
1994,1,-.28785
1994,2,-.86154
1994,3,1.881
1994,4,.22474
1994,5,-.11545
1994,6,1.6063
1994,7,.35074
1994,8,.82753
1994,9,-.084055
1994,10,.17403
1994,11,1.7794
1994,12,.89383
1995,1,-.15377
1995,2,1.4289
1995,3,.39323
1995,4,-.96313
1995,5,-.8912
1995,6,-.11182
1995,7,-.21708
1995,8,.54359
1995,9,-.54903
1995,10,.075041
1995,11,-.72327
1995,12,-2.1271
1996,1,-1.2004
1996,2,.16321
1996,3,-1.4832
1996,4,-1.5251
1996,5,-.22642
1996,6,.49673
1996,7,.71457
1996,8,.12471
1996,9,-1.14
1996,10,.18253
1996,11,.13637
1996,12,-1.7208
1997,1,-.45677
1997,2,1.8887
1997,3,1.0908
1997,4,.32363
1997,5,-.96113
1997,6,-.81499
1997,7,-.43061
1997,8,.12062
1997,9,.19451
1997,10,-.6997100000000001
1997,11,-.66113
1997,12,-.071116
1998,1,-2.0806
1998,2,-.18318
1998,3,-.25442
1998,4,-.037912
1998,5,.42864
1998,6,-.71073
1998,7,-.21167
1998,8,.65033
1998,9,-1.0499
1998,10,.29433
1998,11,-1.4494
1998,12,1.3534
1999,1,.11035
1999,2,.48213
1999,3,-1.4916
1999,4,.28445
1999,5,.22587
1999,6,.70703
1999,7,-.0020418
1999,8,-.67215
1999,9,.059078
1999,10,-.0058023
1999,11,.61094
1999,12,1.0431
2000,1,1.2702
2000,2,1.0758
2000,3,-.45136
2000,4,-.27852
2000,5,.96909
2000,6,.5861
2000,7,-.64943
2000,8,.14389
2000,9,.39486
2000,10,.31678
2000,11,-1.5815
2000,12,-2.3544
2001,1,-.95883
2001,2,-.62241
2001,3,-1.6865
2001,4,.90598
2001,5,.45196
2001,6,-.015338
2001,7,-.030988
2001,8,.5205
2001,9,-.7066
2001,10,.70747
2001,11,.81865
2001,12,-1.3224
2002,1,1.3813
2002,2,1.3035
2002,3,.902
2002,4,.74841
2002,5,.40136
2002,6,.57274
2002,7,.32764
2002,8,-.22853
2002,9,-.042744
2002,10,-1.4885
2002,11,-1.4251
2002,12,-1.5921
2003,1,-.47167
2003,2,.1278
2003,3,.93297
2003,4,-.17811
2003,5,1.0167
2003,6,-.10212
2003,7,.075316
2003,8,-.28037
2003,9,.46658
2003,10,-.66981
2003,11,.64242
2003,12,.26521
2004,1,-1.6858
2004,2,-1.5285
2004,3,.31806
2004,4,-.40938
2004,5,-.094252
2004,6,-.23587
2004,7,-.20054
2004,8,-.72019
2004,9,.85501
2004,10,-.51542
2004,11,.67827
2004,12,1.2301
2005,1,.35617
2005,2,-1.2706
2005,3,-1.3479
2005,4,-.046214
2005,5,-.76336
2005,6,-.38324
2005,7,-.030247
2005,8,.026141
2005,9,.80239
2005,10,.029768
2005,11,.22769
2005,12,-2.1039
2006,1,-.17047
2006,2,-.15577
2006,3,-1.6038
2006,4,.13833
2006,5,.15581
2006,6,1.0708
2006,7,.1027
2006,8,-.26525
2006,9,.60649
2006,10,-1.0291
2006,11,.5213100000000001
2006,12,2.2817
2007,1,2.0338
2007,2,-1.3069
2007,3,1.1821
2007,4,.54427
2007,5,.89367
2007,6,-.55496
2007,7,-.39652
2007,8,-.033738
2007,9,.17892
2007,10,.38348
2007,11,-.51866
2007,12,.82113
2008,1,.81896
2008,2,.93807
2008,3,.5855900000000001
2008,4,-.45501
2008,5,-1.2047
2008,6,-.08978
2008,7,-.47992
2008,8,-.080482
2008,9,-.32657
2008,10,1.6758
2008,11,.092205
2008,12,.64778
2009,1,.79975
2009,2,-.6723
2009,3,.12134
2009,4,.97253
2009,5,1.1937
2009,6,-1.3507
2009,7,-1.3559
2009,8,-.053666
2009,9,.87451
2009,10,-1.5399
2009,11,.45885
2009,12,-3.4128
2010,1,-2.5868
2010,2,-4.2657
2010,3,-.43208
2010,4,-.2745
2010,5,-.91864
2010,6,-.013004
2010,7,.43527
2010,8,-.1166
2010,9,-.86464
2010,10,-.46697
2010,11,-.37575
2010,12,-2.631
2011,1,-1.6831
2011,2,1.5754
2011,3,1.4241
2011,4,2.2748
2011,5,-.035093
2011,6,-.85775
2011,7,-.47162
2011,8,-1.0626
2011,9,.66474
2011,10,.79975
2011,11,1.4592
2011,12,2.2208
2012,1,-.21966
2012,2,-.036335
2012,3,1.0371
2012,4,-.034571
2012,5,.16841
2012,6,-.67241
2012,7,.16779
2012,8,.013999
2012,9,.77225
2012,10,-1.514
2012,11,-.11057
2012,12,-1.7486
2013,1,-.60952
2013,2,-1.0074
2013,3,-3.1854
2013,4,.32221
2013,5,.49401
2013,6,.54865
2013,7,-.011112
2013,8,.15425
2013,9,-.46088
2013,10,.26276
2013,11,2.029
2013,12,1.4749
2014,1,-.96876
2014,2,.043775
2014,3,1.2058
2014,4,.97197
2014,5,.46421
2014,6,-.5044999999999999
2014,7,-.48894
2014,8,-.37154
2014,9,.10191
2014,10,-1.1344
2014,11,-.5303
2014,12,.41292
2015,1,1.0916
2015,2,1.0426
2015,3,1.8374
2015,4,1.2157
2015,5,.76276
2015,6,.42704
2015,7,-1.1079
2015,8,-.68902
2015,9,-.16451
2015,10,-.25006
2015,11,1.945
2015,12,1.4441
2016,1,-1.4487
2016,2,-.023521
2016,3,.28024
2016,4,-1.0511
2016,5,-.035739
2016,6,.31288
2016,7,.084758
2016,8,.47238
2016,9,.7809700000000001
2016,10,-1.9173
2016,11,-.61091
2016,12,1.7864
2017,1,.94197
2017,2,.33986
2017,3,1.3654
2017,4,-.088658
2017,5,-.73014
2017,6,.40166
2017,7,.63423
2017,8,.15004
2017,9,-.49245
