ISIN	null								
Start date	08.04.2024								
End date	24.04.2024								
									
ISIN	Security full name	Issue size (mn)	Date	Face value	Face value currency	Outstanding face value	Coupon rate, per cent per annum	Payment amount, nominal currency	Payment amount, RUB*
RU000A104ZC9	KAMAZ PTC BO-P10	7000	19.04.2024	1000	RUB	1000	10.8	26.93	26.93
RU000A103WQ8	Setl-Grupp BO 001P-04	7500	19.04.2024	1000	RUB	1000	9.45	23.56	23.56
RU000A103GL2	CFP MFC B-02	1000	19.04.2024	1000	RUB	1000	13	10.68	10.68
RU000A101M04	RZD BO 001P-20R	15000	19.04.2024	1000	RUB	1000	7.35	36.65	36.65
RU000A0ZZQQ0	Khabarovsk Territory 07	5000	19.04.2024	1000	RUB	600	9	13.46	13.46
RU000A0NX3F8	ALFA C-1-226 (structural)	0	19.04.2024	1000	RUB	1000	0.01	0.05	0.05
RU000A0JXQ51	AVTOBAN-Finance B0-P01	3000	19.04.2024	1000	RUB	1000	10	49.86	49.86
RU000A0JVWD9	GTLK (PAO) BO-05	4000	19.04.2024	1000	RUB	1000	14.34	35.75	35.75
RU000A0JVWB3	Rosselkhozbank BO-09	10000	19.04.2024	1000	RUB	1000	8.65	21.57	21.57
RU000A1082G5	EvroTrans 002P-01	2000	18.04.2024	1000	RUB	1000	17	13.97	13.97
RU000A107ST1	ARENZA-PRO 001P-04	400	18.04.2024	1000	RUB	1000	16.5	14.01	14.01
RU000A107KV4	SibAvtoTrans 001P-03	400	18.04.2024	1000	RUB	1000	19	47.37	47.37
RU000A107EW5	MFC Joy Money 001P-01	250	18.04.2024	1000	RUB	1000	23	18.9	18.9
RU000A107225	AFANASIY BO-01	100	18.04.2024	1000	RUB	1000	16	39.89	39.89
RU000A106TV7	VimpelKom 003P-04	7000	18.04.2024	1000	RUB	1000	8.02	20	20
RU000A106QL4	SberIOS 001P-580R 5Y AC IMOEX	464.403	18.04.2024	1000	RUB	1000	0.01	0.01	0.01
RU000A106EP1	PR-Leasing LLC BO 002P-02	1500	18.04.2024	1000	RUB	1000	12.5	10.27	10.27
RU000A106EM8	Baltic Leasing BO-P08	10000	18.04.2024	1000	RUB	1000	10.7	8.79	8.79
RU000A1064X8	ZASLON 001P-01	1000	18.04.2024	1000	RUB	1000	12.5	62.33	62.33
RU000A1064G3	Gazprombank BO 001P-26P	10427.011	18.04.2024	1000	RUB	1000	10	50.14	50.14
RU000A105X80	VimpelKom 001P-08	9500	18.04.2024	1000	RUB	1000	8.02	20	20
RU000A105RU5	MLFT BO-01	200	18.04.2024	1000	RUB	1000	18	14.79	14.79
RU000A104Z89	AO im. T.G.Shevchenko 001P-03	250	18.04.2024	1000	RUB	1000	0.01	0.02	0.02
RU000A104Z71	Binnopharm Group 001P-02	3000	18.04.2024	1000	RUB	1000	10.35	25.8	25.8
RU000A103WM7	TransFin-M 001P-08	1000	18.04.2024	1000	RUB	1000	15.5	77.29	77.29
RU000A103133	HC Novotrans 001P-02	5000	18.04.2024	1000	RUB	1000	9.15	22.81	22.81
RU000A103117	MV FINANCE 001P-01	10000	18.04.2024	1000	RUB	1000	11	54.85	54.85
RU000A1030U5	EconomLeasing 001P-03	200	18.04.2024	1000	RUB	1000	11.5	28.67	28.67
RU000A1030D1	ALFA-BANK 002P-11	1900	18.04.2024	1000	RUB	1000	7	35.1	35.1
RU000A1029G6	Krasnoyarsk 34013	3000	18.04.2024	1000	RUB	500	6.25	7.79	7.79
RU000A102986	SUEK - Finance 001P-06R	14000	18.04.2024	1000	RUB	1000	6.7	33.41	33.41
RU000A1028U9	RZD 001B-04	80000	18.04.2024	1000	RUB	1000	13.8	68.81	68.81
RU000A101LS1	RZD BO 001P-19R	10000	18.04.2024	1000	RUB	1000	7.55	37.65	37.65
RU000A100YQ0	Rosneft 002P-09	25000	18.04.2024	1000	RUB	1000	7.1	17.7	17.7
RU000A100Q35	PR-Leasing LLC BO 001P-03	400	18.04.2024	1000	RUB	1000	11	9.04	9.04
RU000A0ZZ505	Russian Agricultural Bank 09T1	5000	18.04.2024	1000	RUB	1000	9	44.88	44.88
RU000A0ZYEB1	TransFin-M 001P-04	9234.815	18.04.2024	1000	RUB	1000	10	49.86	49.86
RU000A0JXQ44	RZhD BO-001P-02R	15000	18.04.2024	1000	RUB	1000	8.5	42.38	42.38
RU000A0JXP45	Gazprombank BO-16	10000	18.04.2024	1000	RUB	1000	6.1	30.58	30.58
RU000A0JWX04	Bashneft ANK BO-09	5000	18.04.2024	1000	RUB	1000	0.01	0.05	0.05
RU000A0JVW71	RZhD BO-02	15000	18.04.2024	1000	RUB	1000	13.4	66.82	66.82
RU000A100A82	OFZ-PD 26228	450000	17.04.2024	1000	RUB	1000	7.65	38.15	38.15
RU000A0JXQF2	OFZ-PD 26222	350000	17.04.2024	1000	RUB	1000	7.1	35.4	35.4
RU000A107EE3	SOBI-LEASING 001P-04	150	17.04.2024	1000	RUB	1000	19	15.62	15.62
RU000A1078V2	GTLK ZO25-D	292.09	17.04.2024	1000	USD	1000	5.95	29.75	2784.28
RU000A107720	MK Leasing BO-01	350	17.04.2024	1000	RUB	1000	17.65	14.99	14.99
RU000A1071Q7	MOTORICA BO-01	300	17.04.2024	1000	RUB	1000	15.75	39.27	39.27
RU000A106VV3	RZD BO 001P-27R	30000	17.04.2024	1000	RUB	1000	16.95	14.4	14.4
RU000A106V99	SberIOS 001P-583R 5Y AC SBER	1795.075	17.04.2024	1000	RUB	1000	0.01	0.06	0.06
RU000A106987	LIZING-TREYD 001P-08	200	17.04.2024	1000	RUB	1000	14.5	11.92	11.92
RU000A104CL9	RESO-LEASING BO-P-21	1000	17.04.2024	1000	RUB	1000	9.6	7.89	7.89
RU000A103WD6	PIM BO-01	130	17.04.2024	1000	RUB	750	13	24.31	24.31
RU000A103QC0	Bank VTB B-1-238	180.279	17.04.2024	1000	RUB	1000	0.01	0.05	0.05
RU000A103QB2	Bank VTB B-1-237	53.276	17.04.2024	1000	RUB	1000	0.01	0.05	0.05
RU000A103M85	Strana Development 01	1000	17.04.2024	1000	RUB	1000	14	11.51	11.51
RU000A103C04	Cruise BO-01	50	17.04.2024	1000	RUB	800	12	7.89	7.89
RU000A103166	Bank VTB B-1-216	316.819	17.04.2024	1000	RUB	1000	0.01	0.05	0.05
RU000A1030X9	Setl-Grupp BO-001P-03	7500	17.04.2024	1000	RUB	1000	8.5	21.19	21.19
RU000A1030N0	FES-Agro LLC BO-02	500	17.04.2024	1000	RUB	500	11	13.71	13.71
RU000A102TK9	UniService Capital 02K	90	17.04.2024	10000	RUB	10000	8.8	72.33	72.33
RU000A1029A9	FSUE Rosmorport 001P-01	4000	17.04.2024	1000	RUB	500	5.9	14.71	14.71
RU000A1026R9	Siberian Glass BO-P02	125	17.04.2024	10000	RUB	9000	12.5	92.47	92.47
RU000A102036	Novosibirskbreadproduct BO-P01	70	17.04.2024	10000	RUB	10000	12	98.63	98.63
RU000A101XN7	Sistema PJSFC 001P-14	10000	17.04.2024	1000	RUB	1000	10.5	26.18	26.18
RU000A100YF3	METALLOINVEST BO-03	10000	17.04.2024	1000	RUB	1000	7.15	35.65	35.65
RU000A100YE6	TransContainer PBO-01	10000	17.04.2024	1000	RUB	500	7.3	18.2	18.2
RU000A100AN7	MIPC JSC BO 001P-02	5000	17.04.2024	1000	RUB	1000	9.4	46.87	46.87
RU000A1006C3	Pioneer Leasing BO-P02	300	17.04.2024	1000	RUB	1000	22.25	18.29	18.29
RU000A0ZZ4T1	Russian Agricultural Bank 01T1	10000	17.04.2024	1000	RUB	1000	9	44.88	44.88
RU000A0P1Y04	VEB.RF PBO-002P-K484	35000	17.04.2024	1000	RUB	1000	15.63	6	6
RU000A0NX373	ALFA C-1-218 (structural)	0	17.04.2024	1000	RUB	1000	0.01	0.05	0.05
RU000A0NNG91	Bank VTB C-1-234(structural)	0	17.04.2024	1000	RUB	1000	0		
RU000A0JXPN8	Rostelecom 001P-02R	10000	17.04.2024	1000	RUB	1000	13.2	65.82	65.82
RU000A0JXPK4	Transneft BO-07	17000	17.04.2024	1000	RUB	1000	8.75	43.63	43.63
RU000A0JUG72	International Invest. Bank 2	3000	17.04.2024	1000	RUB	1000	0.01	0.05	0.05
RU000A107JV6	ALFA-BANK 001P-11	500	16.04.2024	1000	RUB	1000	12.9	32.16	32.16
RU000A107EC7	Rosseti Lenenergo PJSC 001P-01	10000	16.04.2024	1000	RUB	1000	17.15	14.1	14.1
RU000A107209	Siberian Glass BO-P04	300	16.04.2024	1000	RUB	1000	17	13.97	13.97
RU000A1071Z8	ID Collect 05	900	16.04.2024	1000	RUB	1000	16	13.15	13.15
RU000A1071S3	METALLOINVEST 001P-05	1000	16.04.2024	1000	CNY	1000	5.75	28.67	369.4
RU000A1071R5	T1 LLC 001P-01	2000	16.04.2024	1000	RUB	1000	15.5	38.64	38.64
RU000A106X89	REGION-PRODUCT BO 001P-03	50	16.04.2024	1000	RUB	1000	18	14.79	14.79
RU000A106X30	Techport02	150	16.04.2024	1000	RUB	1000	18	14.79	14.79
RU000A106DN8	Bank VTB B-1-319	3244.245	16.04.2024	1000	RUB	1000	8.17	6.94	6.94
RU000A105P07	Solid-Leasing BO-001-07	300	16.04.2024	1000	RUB	850	14.5	10.13	10.13
RU000A105L01	Rosselkhozbank BO-01-002P	2738.389	16.04.2024	1000	RUB	1000	8.9	7.56	7.56
RU000A105AX5	PATRIOT 01	200	16.04.2024	1000	RUB	1000	16	39.89	39.89
RU000A105AW7	ZAVOD KES 001P-03	150	16.04.2024	1000	RUB	1000	20	49.86	49.86
RU000A104VD6	SFO Sputnik Fin 01	440	16.04.2024	1000	RUB	436.81	10	12.74	12.74
RU000A103WB0	Slavyansk ECO 001P-01	3000	16.04.2024	1000	RUB	1000	11	27.42	27.42
RU000A102A15	Saint-Petersburg 35003	30000	16.04.2024	1000	RUB	700	6.05	21.12	21.12
RU000A102952	VIS FINANCE BO-P01	2500	16.04.2024	1000	RUB	1000	15	37.4	37.4
RU000A1028T1	FGC ROSSETI BO 001P-02R	10000	16.04.2024	1000	RUB	1000	6.6	16.45	16.45
RU000A101LJ0	EuroChem MCC JSC BO-001-P08	25000	16.04.2024	1000	RUB	1000	8.05	40.14	40.14
RU000A100Y84	Belgorod Region 34013	2000	16.04.2024	1000	RUB	250	7	4.36	4.36
RU000A100WF7	The city of Novosibirsk 35010	5000	16.04.2024	1000	RUB	550	7.3	9.9	9.9
RU000A100ME1	ARAGON LLC BO-P02	300	16.04.2024	1000	RUB	1000	11.5	28.67	28.67
RU000A0JXPG2	GTLK BO-001P-04	10000	16.04.2024	1000	RUB	1000	12.33	30.74	30.74
RU000A0JVVT7	PSB BO-03	10000	16.04.2024	1000	RUB	1000	16.2	40.39	40.39
RU000A0JVN98	Rosselhozbank 26	10000	16.04.2024	1000	RUB	1000	17.6	43.88	43.88
RU000A0JVD25	RusGidro(PAO) 09	10000	16.04.2024	1000	RUB	1000	0.01	0.05	0.05
RU000A0JUG56	International Invest. Bank 1	2000	16.04.2024	1000	RUB	1000	0.01	0.05	0.05
XS2420560869	BCS SP Plc Series 239	70	15.04.2024	100000	RUB	100000			
XS2185963803	BCS SP Plc Series 95	600	15.04.2024	100000	RUB	100000			
